Transaction ID,Transaction Date,Product Type,SKU,Price,Availability,Number of Products Sold,Revenue Generated,Stock Levels,Lead Times,Order Quantities,Shipping Times,Shipping Carriers,Shipping Costs,Supplier Name,Location,Lead Time,Production Volumes,Manufacturing Lead Time,Manufacturing Costs,Inspection Results,Defect Rates,Transportation Modes,Routes,Total Logistics Cost
TXN04176,2022-01-01,haircare,SKU54,33.6,64,113,4107.39,75,25,73,2,Carrier C,1.76,Supplier 1,Kolkata,24,525,21,27.77,Pending,2.4177,Road,Route B,2155.69
TXN05750,2022-01-01,cosmetics,SKU96,25.61,86,281,8006.68,93,29,53,2,Carrier A,1.71,Supplier 3,Mumbai,32,565,29,17.94,Fail,4.1624,Road,Route A,1041.45
TXN01278,2022-01-01,skincare,SKU56,22.15,60,251,6037.27,78,24,31,2,Carrier A,0.9,Supplier 1,Mumbai,24,612,21,11.79,Pass,0.4741,Air,Route B,393.39
TXN08484,2022-01-01,haircare,SKU87,78.1,23,46,3909.75,22,17,58,4,Carrier B,3.44,Supplier 3,Chennai,18,730,19,26.64,Pending,2.4343,Sea,Route B,1744.64
TXN05501,2022-01-01,cosmetics,SKU21,81.46,63,47,3728.45,83,7,79,2,Carrier A,4.22,Supplier 5,Chennai,7,873,6,67.89,Pass,0.0208,Air,Route C,5696.69
TXN08854,2022-01-01,cosmetics,SKU7,40.38,48,242,8849.5,67,1,48,2,Carrier A,2.95,Supplier 4,Bangalore,1,442,1,90.99,Pass,0.8806,Road,Route C,4509.12
TXN07249,2022-01-01,cosmetics,SKU73,82.68,56,22,2060.88,59,4,40,2,Carrier A,4.9,Supplier 4,Chennai,4,724,4,45.8,Fail,6.5474,Road,Route A,2028.0
TXN03612,2022-01-01,haircare,SKU83,67.21,48,243,15648.83,54,3,16,5,Carrier B,2.24,Supplier 1,Bangalore,3,550,4,99.79,Pass,0.6133,Road,Route A,1632.48
TXN08097,2022-01-01,skincare,SKU69,51.89,64,269,15525.52,74,8,78,5,Carrier B,2.23,Supplier 4,Kolkata,9,970,8,79.06,Pass,1.9528,Air,Route A,6340.62
TXN09279,2022-01-01,skincare,SKU98,19.35,20,105,2158.99,29,15,41,3,Carrier B,0.68,Supplier 5,Chennai,16,463,15,6.05,Fail,7.8516,Rail,Route A,275.93
TXN05970,2022-01-01,cosmetics,SKU92,44.83,48,1,42.95,61,30,100,2,Carrier A,2.05,Supplier 2,Mumbai,32,65,27,65.75,Pass,0.2611,Rail,Route B,6780.0
TXN00065,2022-01-01,haircare,SKU99,69.25,56,326,25533.99,57,1,75,3,Carrier C,3.09,Supplier 2,Chennai,1,196,1,40.14,Pass,0.2099,Rail,Route B,3242.25
TXN04875,2022-01-01,haircare,SKU45,34.73,83,179,7051.15,89,19,85,2,Carrier C,1.29,Supplier 2,Chennai,20,594,23,72.12,Pending,2.0316,Rail,Route A,6239.85
TXN08114,2022-01-01,cosmetics,SKU92,44.38,81,1,40.82,83,27,13,2,Carrier A,2.29,Supplier 2,Mumbai,29,383,28,67.93,Pass,0.307,Rail,Route B,912.86
TXN06865,2022-01-01,haircare,SKU48,79.57,75,194,13639.38,71,22,63,5,Carrier B,4.42,Supplier 2,Mumbai,22,23,16,23.78,Pass,1.7996,Rail,Route B,1776.6
TXN07157,2022-01-02,haircare,SKU77,54.04,45,62,3228.84,56,2,77,1,Carrier A,3.06,Supplier 1,Kolkata,3,696,3,44.52,Pass,1.8582,Road,Route B,3663.66
TXN07539,2022-01-02,cosmetics,SKU96,22.65,82,234,4561.76,99,26,47,3,Carrier B,1.41,Supplier 3,Mumbai,29,504,33,17.64,Fail,6.7352,Road,Route A,895.35
TXN08892,2022-01-02,cosmetics,SKU91,58.33,55,110,7193.18,63,34,27,4,Carrier B,2.51,Supplier 4,Delhi,33,512,31,42.13,Pass,0.5199,Rail,Route B,1205.28
TXN06129,2022-01-02,haircare,SKU12,67.26,62,123,8784.09,82,2,60,4,Carrier B,2.41,Supplier 4,Kolkata,3,768,3,34.63,Fail,4.0888,Road,Route B,2222.4
TXN08337,2022-01-02,cosmetics,SKU28,2.32,84,92,227.25,99,5,87,2,Carrier A,0.13,Supplier 1,Mumbai,5,48,4,61.93,Pass,0.7843,Air,Route A,5399.22
TXN01288,2022-01-02,skincare,SKU90,13.91,44,90,1155.12,42,8,56,4,Carrier B,0.67,Supplier 3,Bangalore,9,661,7,83.72,Pass,1.2549,Rail,Route B,4725.84
TXN09512,2022-01-02,cosmetics,SKU71,6.87,100,143,860.58,101,12,52,2,Carrier C,0.26,Supplier 2,Bangalore,12,761,9,32.39,Pending,2.204,Road,Route A,1697.8
TXN00184,2022-01-02,skincare,SKU90,13.1,66,72,1072.78,73,9,60,1,Carrier A,0.99,Supplier 3,Bangalore,10,174,8,84.99,Pass,1.5314,Rail,Route B,5158.8
TXN02526,2022-01-02,skincare,SKU37,23.36,48,108,2788.37,45,17,66,5,Carrier B,0.88,Supplier 3,Kolkata,17,424,14,34.56,Pending,2.5665,Sea,Route A,2339.04
TXN01499,2022-01-02,skincare,SKU13,15.28,62,287,5039.49,62,17,68,4,Carrier C,0.76,Supplier 5,Bangalore,19,607,17,106.09,Pass,1.8781,Road,Route B,7265.8
TXN03610,2022-01-02,haircare,SKU57,50.58,62,263,14083.85,80,31,39,5,Carrier B,2.15,Supplier 2,Delhi,31,396,27,68.5,Pending,3.2376,Rail,Route A,2755.35
TXN02901,2022-01-02,skincare,SKU90,13.49,62,1,11.52,67,7,50,2,Carrier C,0.59,Supplier 3,Bangalore,7,407,8,84.85,Pass,0.977,Rail,Route B,4272.0
TXN04423,2022-01-02,skincare,SKU53,31.58,70,196,5908.86,74,10,12,4,Carrier B,1.1,Supplier 1,Delhi,11,221,15,76.23,Pass,1.4462,Air,Route B,927.96
TXN08786,2022-01-02,haircare,SKU77,57.71,67,173,8499.61,66,2,49,4,Carrier B,2.79,Supplier 1,Kolkata,3,336,3,42.56,Pending,2.6811,Road,Route B,2222.15
TXN09083,2022-01-02,haircare,SKU24,4.15,90,232,932.53,84,2,70,4,Carrier B,0.19,Supplier 2,Bangalore,3,412,2,39.28,Pending,2.9713,Air,Route A,2762.9
TXN09730,2022-01-02,haircare,SKU76,74.34,66,224,14289.97,75,19,19,2,Carrier A,2.99,Supplier 2,Bangalore,20,451,22,64.32,Pending,2.056,Rail,Route A,1278.89
TXN08970,2022-01-03,skincare,SKU86,21.01,100,63,1486.63,92,15,4,2,Carrier A,1.22,Supplier 1,Mumbai,15,133,13,80.86,Pass,0.952,Rail,Route A,328.32
TXN01709,2022-01-03,skincare,SKU42,47.34,82,231,9519.51,93,9,28,4,Carrier B,2.71,Supplier 5,Bangalore,10,701,12,92.3,Fail,10.1891,Road,Route A,2660.28
TXN03549,2022-01-03,cosmetics,SKU94,2.84,31,176,451.5,43,18,83,2,Carrier A,0.21,Supplier 2,Delhi,17,640,13,61.4,Pass,0.766,Rail,Route B,5113.63
TXN07952,2022-01-03,cosmetics,SKU59,64.83,55,219,15288.34,66,3,30,2,Carrier A,3.33,Supplier 1,Kolkata,3,1,2,1.78,Pass,0.1653,Air,Route A,153.3
TXN07838,2022-01-03,haircare,SKU74,3.2,100,73,265.34,114,9,43,2,Carrier A,0.21,Supplier 4,Delhi,10,289,11,72.54,Pass,0.7808,Rail,Route A,3128.25
TXN03664,2022-01-03,cosmetics,SKU71,6.87,73,189,1377.16,97,11,93,2,Carrier A,0.39,Supplier 2,Bangalore,11,736,9,29.33,Pass,1.9683,Road,Route A,2763.96
TXN08630,2022-01-03,cosmetics,SKU50,13.6,50,209,2940.3,49,17,83,4,Carrier B,0.77,Supplier 2,Delhi,18,289,21,43.31,Pending,3.3092,Rail,Route B,3658.64
TXN04260,2022-01-03,cosmetics,SKU33,69.7,76,111,6851.7,94,40,45,3,Carrier B,3.01,Supplier 5,Chennai,45,295,33,22.32,Fail,5.2564,Sea,Route A,1139.85
TXN07046,2022-01-03,haircare,SKU30,8.57,28,83,733.9,30,54,55,2,Carrier A,0.58,Supplier 4,Kolkata,50,528,43,49.17,Pass,0.956,Road,Route C,2736.25
TXN08324,2022-01-04,haircare,SKU12,76.91,52,137,9056.21,69,3,65,4,Carrier B,4.03,Supplier 4,Kolkata,3,579,3,33.71,Pending,2.8386,Road,Route B,2453.1
TXN00058,2022-01-04,skincare,SKU20,97.34,11,271,25910.35,13,4,30,2,Carrier A,5.34,Supplier 1,Chennai,4,540,4,62.69,Pending,3.3885,Air,Route B,2040.9
TXN08004,2022-01-04,skincare,SKU34,38.27,28,184,7326.0,33,7,87,2,Carrier C,2.39,Supplier 1,Chennai,8,596,7,10.46,Pass,0.6021,Road,Route B,1117.95
TXN09252,2022-01-04,haircare,SKU2,11.94,66,20,234.95,81,27,86,3,Carrier C,0.61,Supplier 1,Mumbai,26,331,18,33.61,Pending,2.5282,Air,Route C,2942.92
TXN07096,2022-01-04,haircare,SKU57,51.7,52,112,6378.55,63,32,36,5,Carrier B,2.24,Supplier 2,Delhi,30,585,23,64.26,Pass,1.6097,Rail,Route A,2394.0
TXN07209,2022-01-04,skincare,SKU63,13.71,70,81,957.65,70,11,9,2,Carrier C,0.61,Supplier 3,Bangalore,13,523,10,18.23,Fail,5.902,Sea,Route A,169.56
TXN06797,2022-01-04,cosmetics,SKU35,78.5,44,182,13061.55,56,1,48,3,Carrier B,3.24,Supplier 1,Delhi,1,369,1,56.6,Pass,0.5668,Sea,Route C,2872.32
TXN07069,2022-01-04,skincare,SKU19,47.7,71,103,4204.04,67,21,56,5,Carrier B,2.85,Supplier 4,Chennai,20,52,21,81.23,Pending,3.9206,Road,Route C,4708.48
TXN09781,2022-01-04,cosmetics,SKU50,15.2,83,265,4373.92,82,23,38,2,Carrier A,0.98,Supplier 2,Delhi,23,693,23,45.73,Fail,6.765,Rail,Route B,1774.98
TXN05437,2022-01-04,haircare,SKU22,26.92,37,256,6975.56,42,47,31,3,Carrier C,1.34,Supplier 4,Kolkata,44,466,39,54.87,Fail,4.3481,Rail,Route C,1742.51
TXN01523,2022-01-04,skincare,SKU6,4.1,27,140,576.11,32,24,62,2,Carrier A,0.19,Supplier 3,Kolkata,24,537,26,1.05,Pass,1.6882,Sea,Route A,76.88
TXN04820,2022-01-04,haircare,SKU76,70.83,41,192,14846.35,38,23,60,2,Carrier A,3.91,Supplier 2,Bangalore,24,461,23,62.33,Pass,1.3403,Rail,Route A,3974.4
TXN09526,2022-01-04,skincare,SKU80,97.4,55,70,6705.94,75,6,66,2,Carrier C,3.4,Supplier 3,Chennai,6,227,5,82.83,Fail,4.8933,Sea,Route B,5691.18
TXN02485,2022-01-04,skincare,SKU16,7.02,40,56,431.62,51,18,64,4,Carrier B,0.4,Supplier 1,Bangalore,19,345,15,74.77,Pass,0.7268,Air,Route A,4810.88
TXN05639,2022-01-04,haircare,SKU51,28.31,78,159,5117.87,87,58,60,2,Carrier A,1.33,Supplier 5,Bangalore,55,257,40,14.42,Fail,5.075,Road,Route A,945.0
TXN00971,2022-01-04,cosmetics,SKU50,13.46,92,119,1780.74,102,17,65,2,Carrier A,1.08,Supplier 2,Delhi,18,444,19,44.03,Fail,6.321,Rail,Route B,2932.15
TXN08753,2022-01-04,haircare,SKU24,4.08,50,221,868.16,52,2,83,2,Carrier A,0.26,Supplier 2,Bangalore,2,688,3,38.68,Pending,2.405,Air,Route A,3232.02
TXN02771,2022-01-04,cosmetics,SKU50,15.12,32,78,1271.72,45,18,66,3,Carrier C,0.78,Supplier 2,Delhi,18,462,20,41.34,Pending,3.7399,Rail,Route B,2779.92
TXN04600,2022-01-04,cosmetics,SKU33,66.07,67,225,14151.26,62,45,18,3,Carrier C,4.15,Supplier 5,Chennai,43,442,32,23.65,Fail,10.4799,Sea,Route A,500.4
TXN03330,2022-01-05,cosmetics,SKU27,86.2,72,98,9529.8,84,6,58,3,Carrier C,3.72,Supplier 5,Mumbai,7,481,5,10.46,Fail,7.8965,Sea,Route B,822.44
TXN06606,2022-01-05,skincare,SKU13,15.02,86,140,2117.48,80,19,96,3,Carrier C,0.62,Supplier 5,Bangalore,19,790,15,97.79,Pending,2.2246,Road,Route B,9447.36
TXN08424,2022-01-05,haircare,SKU87,83.73,46,193,14083.71,57,20,35,5,Carrier B,3.77,Supplier 3,Chennai,22,619,18,25.94,Pending,3.3412,Sea,Route B,1039.85
TXN09684,2022-01-05,skincare,SKU14,95.37,90,167,15397.97,90,11,12,2,Carrier C,5.07,Supplier 1,Kolkata,11,551,12,6.22,Pass,0.0971,Air,Route B,135.48
